date,price
15/09/2014,473.0313
16/09/2014,462.5925
17/09/2014,454.6238000000001
18/09/2014,423.565
19/09/2014,393.2624999999999
20/09/2014,408.5025
21/09/2014,396.62
22/09/2014,398.3113000000001
23/09/2014,433.7512999999999
24/09/2014,420.92
25/09/2014,407.9775
26/09/2014,402.88
27/09/2014,398.0074999999999
28/09/2014,375.9887999999999
29/09/2014,373.0888
30/09/2014,387.3512999999999
01/10/2014,380.8949999999999
02/10/2014,371.8413
03/10/2014,356.1899999999999
04/10/2014,327.8813
05/10/2014,325.1099999999999
06/10/2014,328.73
07/10/2014,331.7238
08/10/2014,353.3901000000001
09/10/2014,358.395
10/10/2014,357.5549999999999
11/10/2014,359.515
12/10/2014,374.1675000000001
13/10/2014,387.0387999999999
14/10/2014,398.2888
15/10/2014,392.1900000000001
16/10/2014,379.3912999999999
17/10/2014,380.2925
18/10/2014,389.1163
19/10/2014,386.945
20/10/2014,379.7699999999999
21/10/2014,382.4137999999999
22/10/2014,379.4425000000001
23/10/2014,356.2000000000001
24/10/2014,354.3175000000001
25/10/2014,347.0304940564094
26/10/2014,350.1888000000001
27/10/2014,348.29
28/10/2014,351.5638000000001
29/10/2014,333.1474999999999
30/10/2014,343.6674999999999
31/10/2014,336.5879758057807
01/11/2014,323.9763
02/11/2014,323.9849999999999
03/11/2014,323.995
04/11/2014,328.0083
05/11/2014,337.5933
06/11/2014,347.8183
07/11/2014,341.2317
08/11/2014,344.1783
09/11/2014,363.4241291015933
10/11/2014,363.7649999999999
11/11/2014,366.15
12/11/2014,418.5783
13/11/2014,414.7083
14/11/2014,395.245
15/11/2014,377.3267
16/11/2014,387.6233
17/11/2014,384.9
18/11/2014,374.8683
19/11/2014,376.7883
20/11/2014,355.3888345541618
21/11/2014,349.3882854323945
22/11/2014,351.5500000000001
23/11/2014,366.7817
24/11/2014,377.7417
25/11/2014,375.248
26/11/2014,365.7660000000001
27/11/2014,368.448
28/11/2014,376.951
29/11/2014,374.9649999999999
30/11/2014,376.472
01/12/2014,379.489
02/12/2014,381.3768000000001
03/12/2014,374.103
04/12/2014,368.2282000000001
05/12/2014,376.379
06/12/2014,373.671
07/12/2014,374.448
08/12/2014,361.433
09/12/2014,350.9280000000001
10/12/2014,346.9798718363186
11/12/2014,346.9089999999999
12/12/2014,351.502
13/12/2014,347.484
14/12/2014,350.133
15/12/2014,344.615
16/12/2014,328.5340000000001
17/12/2014,318.828
18/12/2014,309.765
19/12/2014,317.54
20/12/2014,328.7740000000001
21/12/2014,319.501
22/12/2014,329.886
23/12/2014,333.97
24/12/2014,322.194
25/12/2014,318.166
26/12/2014,327.7169708710151
27/12/2014,314.568
28/12/2014,316.491
29/12/2014,312.6329999999999
30/12/2014,310.079
31/12/2014,317.379
01/01/2015,313.9920000000001
02/01/2015,314.446
03/01/2015,286.572
04/01/2015,260.936
05/01/2015,273.22
06/01/2015,285.3738000000001
07/01/2015,295.8725
08/01/2015,284.4525
09/01/2015,289.5738000000001
10/01/2015,274.533
11/01/2015,267.184
12/01/2015,268.353667700943
13/01/2015,221.436
14/01/2015,172.1479
15/01/2015,210.5559
16/01/2015,205.816
17/01/2015,199.4914
18/01/2015,208.9892
19/01/2015,214.545
20/01/2015,210.5137
21/01/2015,224.0451
22/01/2015,232.0423000000001
23/01/2015,232.898
24/01/2015,248.096
25/01/2015,253.8388999999999
26/01/2015,271.2882000000001
27/01/2015,259.2356
29/01/2015,232.5329422304941
30/01/2015,228.6354
31/01/2015,218.0233
01/02/2015,226.2697
02/02/2015,240.0193
03/02/2015,226.0119
04/02/2015,225.3083
05/02/2015,216.9136
06/02/2015,222.4872
07/02/2015,227.2050999999999
08/02/2015,222.9061
09/02/2015,220.0922
10/02/2015,220.6493
11/02/2015,219.0956
12/02/2015,222.0401587875259
13/02/2015,235.6774
14/02/2015,259.0086000000001
15/02/2015,232.9962
16/02/2015,235.9199
17/02/2015,242.4568
18/02/2015,234.6238
19/02/2015,240.2988
20/02/2015,244.0821
21/02/2015,244.1459
22/02/2015,235.5529999999999
23/02/2015,238.1319
24/02/2015,238.7314
25/02/2015,237.378
26/02/2015,236.1711557723409
